,id,eventable[element],curr_dom,context_dom,label
0,2,"{'tag': 'INPUT', 'text': '', 'attributes': {'evlist': 'false', 'type': 'submit', 'value': 'Login'}}","<input type=""submit"" value=""Login""/>
  	         ","<div id=""container"">
  			<div id=""top""/>
        <div id=""header""><a href="".""><img alt=""address book"" src=""title.png"" title=""address book""/></a></div>
  			<div id=""nav""/>
  			<div id=""content"">
  	      <form accept-charset=""utf-8"" method=""post"" name=""LoginForm"">
  	         <label>User:</label><input name=""user"" tabindex=""0""/><br/>
  	         <label>Password:</label><input name=""pass"" type=""password""/>
  	         <br/>
  	         <input type=""submit"" value=""Login""/>
  	         <br/>
  	         <br/>
          </form>
<!--  	         
  	         <a href=""../register"">Create account</a>
  	         | <a href=""../register"">Forgot password</a>  	         
  	         <br><br>
  	         <br>
  	         <hr>
  	         <br><br>

  	      <form accept-charset=""utf-8"" id=""hLoginForm"" name=""hLoginForm"" method=""post"">
  	         <input name=""user"" type=""hidden""/>
  	         <input name=""pass"" type=""hidden""/>
          </form>
  	         
  	         <a href=""javascript:hLoginForm.user.value='Facebook';hLoginForm.submit();""><img src=""icons/facebook.png""></a>
  	         <a href=""javascript:hLoginForm.user.value='Google';hLoginForm.submit();""><img src=""icons/google.png""></a>
  	         <a href=""javascript:hLoginForm.user.value='Yahoo';hLoginForm.submit();""><img src=""icons/yahoo.png""></a>
  	         <a href=""javascript:hLoginForm.user.value='Live';hLoginForm.submit();""><img src=""icons/microsoft.png""></a>
  	         <br><br><br>
-->
  
        </div></div>",click login
1,3,"{'tag': 'A', 'text': 'next birthdays', 'attributes': {'evlist': 'false', 'href': 'birthdays.php'}}","<a href=""birthdays.php"">next birthdays</a>
	","<ul>
<li>
	<a href=""./"">home</a>
</li>
<li class=""all"">
	<a href=""edit.php"">add new</a>
</li>
	<li class=""admin"">
		<a href=""group.php"">groups</a>
	</li>
	<li class=""all"">
		<a href=""birthdays.php"">next birthdays</a>
	</li>
	<li class=""export"">
    	<a href=""view.php?all&amp;print"">print all</a>
  </li>
	<li class=""export"">
      <a href=""view.php?all&amp;print&amp;phones"">print phones</a>
  </li>
	<li class=""export"">
    	<a href=""export.php"">export</a>
  </li> 
	<li class=""export"">
    	<a href=""import.php"">import</a>
  </li> 
</ul>
			",click next birthday
